A FindWantDelete i = 21 , Del = 21 
A FindWantDelete i = 26 , Del = 26 
A FindWantDelete i = 30 , Del = 30 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 36 , Del = 36 
A FindWantDelete i = 38 , Del = 38 
A FindWantDelete i = 39 , Del = 39 
A FindWantDelete i = 41 , Del = 41 
A FindWantDelete i = 44 , Del = 44 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 46 , Del = 46 
A FindWantDelete i = 48 , Del = 48 
A FindWantDelete i = 50 , Del = 50 
A FindWantDelete i = 52 , Del = 52 
A FindWantDelete i = 53 , Del = 53 
A FindWantDelete i = 64 , Del = 4 
A FindWantDelete i = 5 , Del = 5 
A FindWantDelete i = 7 , Del = 7 
A FindWantDelete i = 8 , Del = 8 
A FindWantDelete i = 10 , Del = 10 
A FindWantDelete i = 11 , Del = 11 
A FindWantDelete i = 12 , Del = 12 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 15 , Del = 15 
A FindWantDelete i = 16 , Del = 16 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 19 , Del = 19 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 21 , Del = 21 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 26 , Del = 26 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 29 , Del = 29 
A FindWantDelete i = 30 , Del = 30 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 32 , Del = 32 
A FindWantDelete i = 35 , Del = 35 
A FindWantDelete i = 36 , Del = 36 
A FindWantDelete i = 38 , Del = 38 
A FindWantDelete i = 40 , Del = 40 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 44 , Del = 44 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 47 , Del = 47 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 50 , Del = 50 
A FindWantDelete i = 51 , Del = 51 
A FindWantDelete i = 52 , Del = 52 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 63 , Del = 3 
A FindWantDelete i = 4 , Del = 4 
A FindWantDelete i = 5 , Del = 5 
A FindWantDelete i = 6 , Del = 6 
A FindWantDelete i = 7 , Del = 7 
A FindWantDelete i = 8 , Del = 8 
A FindWantDelete i = 10 , Del = 10 
A FindWantDelete i = 11 , Del = 11 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 16 , Del = 16 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 19 , Del = 19 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 21 , Del = 21 
A FindWantDelete i = 22 , Del = 22 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 26 , Del = 26 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 29 , Del = 29 
A FindWantDelete i = 30 , Del = 30 
A FindWantDelete i = 32 , Del = 32 
A FindWantDelete i = 35 , Del = 35 
A FindWantDelete i = 36 , Del = 36 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 47 , Del = 47 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 50 , Del = 50 
A FindWantDelete i = 51 , Del = 51 
A FindWantDelete i = 52 , Del = 52 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 64 , Del = 4 
A FindWantDelete i = 5 , Del = 5 
A FindWantDelete i = 6 , Del = 6 
A FindWantDelete i = 7 , Del = 7 
A FindWantDelete i = 8 , Del = 8 
A FindWantDelete i = 10 , Del = 10 
A FindWantDelete i = 11 , Del = 11 
A FindWantDelete i = 12 , Del = 12 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 16 , Del = 16 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 19 , Del = 19 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 22 , Del = 22 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 26 , Del = 26 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 29 , Del = 29 
A FindWantDelete i = 30 , Del = 30 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 39 , Del = 39 
A FindWantDelete i = 40 , Del = 40 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 44 , Del = 44 
A FindWantDelete i = 47 , Del = 47 
A FindWantDelete i = 52 , Del = 52 
A FindWantDelete i = 53 , Del = 53 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 63 , Del = 3 
A FindWantDelete i = 6 , Del = 6 
A FindWantDelete i = 11 , Del = 11 
A FindWantDelete i = 12 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 15 , Del = 15 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 21 , Del = 21 
A FindWantDelete i = 22 , Del = 22 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 26 , Del = 26 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 29 , Del = 29 
A FindWantDelete i = 30 , Del = 30 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 32 , Del = 32 
A FindWantDelete i = 35 , Del = 35 
A FindWantDelete i = 36 , Del = 36 
A FindWantDelete i = 39 , Del = 39 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 44 , Del = 44 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 47 , Del = 47 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 50 , Del = 50 
A FindWantDelete i = 51 , Del = 51 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 63 , Del = 3 
A FindWantDelete i = 4 , Del = 4 
A FindWantDelete i = 6 , Del = 6 
A FindWantDelete i = 7 , Del = 7 
A FindWantDelete i = 8 , Del = 8 
A FindWantDelete i = 10 , Del = 10 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 16 , Del = 16 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 19 , Del = 19 
A FindWantDelete i = 30 , Del = 30 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 39 , Del = 39 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 44 , Del = 44 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 50 , Del = 50 
A FindWantDelete i = 52 , Del = 52 
A FindWantDelete i = 53 , Del = 53 
A FindWantDelete i = 63 , Del = 3 
A FindWantDelete i = 6 , Del = 6 
A FindWantDelete i = 10 , Del = 10 
A FindWantDelete i = 11 , Del = 11 
A FindWantDelete i = 12 , Del = 12 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 15 , Del = 15 
A FindWantDelete i = 16 , Del = 16 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 19 , Del = 19 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 22 , Del = 22 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 30 , Del = 30 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 50 , Del = 50 
A FindWantDelete i = 51 , Del = 51 
A FindWantDelete i = 52 , Del = 52 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 63 , Del = 3 
A FindWantDelete i = 4 , Del = 4 
A FindWantDelete i = 7 , Del = 7 
A FindWantDelete i = 10 , Del = 10 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 15 , Del = 15 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 19 , Del = 19 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 26 , Del = 26 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 30 , Del = 30 
A FindWantDelete i = 32 , Del = 32 
A FindWantDelete i = 39 , Del = 39 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 50 , Del = 50 
A FindWantDelete i = 51 , Del = 51 
A FindWantDelete i = 52 , Del = 52 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 64 , Del = 4 
A FindWantDelete i = 6 , Del = 6 
A FindWantDelete i = 7 , Del = 7 
A FindWantDelete i = 10 , Del = 10 
A FindWantDelete i = 11 , Del = 11 
A FindWantDelete i = 12 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 15 , Del = 15 
A FindWantDelete i = 16 , Del = 16 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 30 , Del = 30 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 39 , Del = 39 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 52 , Del = 52 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 63 , Del = 3 
A FindWantDelete i = 7 , Del = 7 
A FindWantDelete i = 12 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 26 , Del = 26 
A FindWantDelete i = 30 , Del = 30 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 32 , Del = 32 
A FindWantDelete i = 39 , Del = 39 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 50 , Del = 50 
A FindWantDelete i = 51 , Del = 51 
A FindWantDelete i = 52 , Del = 52 
A FindWantDelete i = 66 , Del = 6 
A FindWantDelete i = 7 , Del = 7 
A FindWantDelete i = 10 , Del = 10 
A FindWantDelete i = 11 , Del = 11 
A FindWantDelete i = 12 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 16 , Del = 16 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 26 , Del = 26 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 30 , Del = 30 
A FindWantDelete i = 32 , Del = 32 
A FindWantDelete i = 39 , Del = 39 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 51 , Del = 51 
A FindWantDelete i = 52 , Del = 52 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 66 , Del = 6 
A FindWantDelete i = 10 , Del = 10 
A FindWantDelete i = 11 , Del = 11 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 16 , Del = 16 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 26 , Del = 26 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 32 , Del = 32 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 52 , Del = 52 
A FindWantDelete i = 71 , Del = 11 
A FindWantDelete i = 12 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 16 , Del = 16 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 50 , Del = 50 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 66 , Del = 6 
A FindWantDelete i = 10 , Del = 10 
A FindWantDelete i = 11 , Del = 11 
A FindWantDelete i = 12 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 50 , Del = 50 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 67 , Del = 7 
A FindWantDelete i = 11 , Del = 11 
A FindWantDelete i = 12 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 16 , Del = 16 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 32 , Del = 32 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 66 , Del = 6 
A FindWantDelete i = 11 , Del = 11 
A FindWantDelete i = 12 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 16 , Del = 16 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 32 , Del = 32 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 66 , Del = 6 
A FindWantDelete i = 11 , Del = 11 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 16 , Del = 16 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 32 , Del = 32 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 71 , Del = 11 
A FindWantDelete i = 12 , Del = 12 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 16 , Del = 16 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 72 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 16 , Del = 16 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 32 , Del = 32 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 73 , Del = 13 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 16 , Del = 16 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 72 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 16 , Del = 16 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 32 , Del = 32 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 72 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 32 , Del = 32 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 72 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 16 , Del = 16 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 32 , Del = 32 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 73 , Del = 13 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 32 , Del = 32 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 72 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 31 , Del = 31 
A FindWantDelete i = 32 , Del = 32 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 72 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 23 , Del = 23 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 72 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 72 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 72 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 72 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 72 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
A FindWantDelete i = 14 , Del = 14 
A FindWantDelete i = 17 , Del = 17 
A FindWantDelete i = 18 , Del = 18 
A FindWantDelete i = 20 , Del = 20 
A FindWantDelete i = 27 , Del = 27 
A FindWantDelete i = 43 , Del = 43 
A FindWantDelete i = 45 , Del = 45 
A FindWantDelete i = 49 , Del = 49 
A FindWantDelete i = 58 , Del = 58 
A FindWantDelete i = 72 , Del = 12 
A FindWantDelete i = 13 , Del = 13 
